"","div","date","eng","daily_cases","new_cases","date_id","add"
"262","Busan","2020/4/27","Busan",822,0,98,0
"263","Busan","2020/4/28","Busan",822,0,99,0
"264","Busan","2020/4/29","Busan",822,0,100,0
"265","Busan","2020/4/30","Busan",822,0,101,0
"266","Busan","2020/5/1","Busan",822,0,102,0
"267","Busan","2020/5/2","Busan",828,6,103,6
"268","Busan","2020/5/3","Busan",828,0,104,0
"269","Busan","2020/5/4","Busan",828,0,105,0
"270","Busan","2020/5/5","Busan",828,0,106,0
"271","Busan","2020/5/6","Busan",828,0,107,0
"272","Busan","2020/5/7","Busan",828,0,108,0
"273","Busan","2020/5/8","Busan",840,12,109,12
"274","Busan","2020/5/9","Busan",846,6,110,6
"275","Busan","2020/5/10","Busan",846,0,111,0
"276","Busan","2020/5/11","Busan",846,0,112,0
"277","Busan","2020/5/12","Busan",846,0,113,0
"278","Busan","2020/5/13","Busan",864,18,114,18
"279","Busan","2020/5/14","Busan",864,0,115,0
"280","Busan","2020/5/15","Busan",864,0,116,0
"281","Busan","2020/5/16","Busan",864,0,117,0
"282","Busan","2020/5/17","Busan",864,0,118,0
"283","Busan","2020/5/18","Busan",864,0,119,0
"284","Busan","2020/5/19","Busan",864,0,120,0
"285","Busan","2020/5/20","Busan",864,0,121,0
"286","Busan","2020/5/21","Busan",864,0,122,0
"287","Busan","2020/5/22","Busan",864,0,123,0
"288","Busan","2020/5/23","Busan",864,0,124,0
"289","Busan","2020/5/24","Busan",864,0,125,0
"290","Busan","2020/5/25","Busan",864,0,126,0
"291","Busan","2020/5/26","Busan",864,0,127,0
"292","Busan","2020/5/27","Busan",864,0,128,0
"293","Busan","2020/5/28","Busan",870,6,129,6
"294","Busan","2020/5/29","Busan",870,0,130,0
"295","Busan","2020/5/30","Busan",876,6,131,6
"296","Busan","2020/5/31","Busan",882,6,132,6
"297","Busan","2020/6/1","Busan",882,0,133,0
"298","Busan","2020/6/2","Busan",882,0,134,0
"299","Busan","2020/6/3","Busan",882,0,135,0
"300","Busan","2020/6/4","Busan",882,0,136,0
"301","Busan","2020/6/5","Busan",882,0,137,0
"302","Busan","2020/6/6","Busan",882,0,138,0
"303","Busan","2020/6/7","Busan",882,0,139,0
"304","Busan","2020/6/8","Busan",882,0,140,0
"305","Busan","2020/6/9","Busan",882,0,141,0
"306","Busan","2020/6/10","Busan",882,0,142,0
"307","Busan","2020/6/11","Busan",882,0,143,0
"308","Busan","2020/6/12","Busan",882,0,144,0
"309","Busan","2020/6/13","Busan",882,0,145,0
"310","Busan","2020/6/14","Busan",882,0,146,0
"311","Busan","2020/6/15","Busan",882,0,147,0
"312","Busan","2020/6/16","Busan",888,6,148,6
"313","Busan","2020/6/17","Busan",888,0,149,0
"314","Busan","2020/6/18","Busan",888,0,150,0
"315","Busan","2020/6/19","Busan",888,0,151,0
"316","Busan","2020/6/20","Busan",900,12,152,12
"317","Busan","2020/6/21","Busan",900,0,153,0
"318","Busan","2020/6/22","Busan",900,0,154,0
"319","Busan","2020/6/23","Busan",900,0,155,0
"320","Busan","2020/6/24","Busan",912,12,156,12
"321","Busan","2020/6/25","Busan",912,0,157,0
"322","Busan","2020/6/26","Busan",912,0,158,0
"323","Busan","2020/6/27","Busan",912,0,159,0
"324","Busan","2020/6/28","Busan",912,0,160,0
"325","Busan","2020/6/29","Busan",918,6,161,6
"326","Busan","2020/6/30","Busan",924,6,162,6
"327","Daegu","2020/1/20","Daegu",0,NA,0,NA
"328","Daegu","2020/1/21","Daegu",0,0,1,0
"329","Daegu","2020/1/22","Daegu",0,0,2,0
"330","Daegu","2020/1/23","Daegu",0,0,3,0
"331","Daegu","2020/1/24","Daegu",0,0,4,0
"332","Daegu","2020/1/25","Daegu",0,0,5,0
"333","Daegu","2020/1/26","Daegu",0,0,6,0
"334","Daegu","2020/1/27","Daegu",0,0,7,0
"335","Daegu","2020/1/28","Daegu",0,0,8,0
"336","Daegu","2020/1/29","Daegu",0,0,9,0
"337","Daegu","2020/1/30","Daegu",0,0,10,0
"338","Daegu","2020/1/31","Daegu",0,0,11,0
"339","Daegu","2020/2/1","Daegu",0,0,12,0
"340","Daegu","2020/2/2","Daegu",0,0,13,0
"341","Daegu","2020/2/3","Daegu",0,0,14,0
"342","Daegu","2020/2/4","Daegu",0,0,15,0
"343","Daegu","2020/2/5","Daegu",0,0,16,0
"344","Daegu","2020/2/6","Daegu",0,0,17,0
"345","Daegu","2020/2/7","Daegu",0,0,18,0
"346","Daegu","2020/2/8","Daegu",0,0,19,0
"347","Daegu","2020/2/9","Daegu",0,0,20,0
"348","Daegu","2020/2/10","Daegu",0,0,21,0
"349","Daegu","2020/2/11","Daegu",0,0,22,0
"350","Daegu","2020/2/12","Daegu",0,0,23,0
"351","Daegu","2020/2/13","Daegu",0,0,24,0
"352","Daegu","2020/2/14","Daegu",0,0,25,0
"353","Daegu","2020/2/15","Daegu",0,0,26,0
"354","Daegu","2020/2/16","Daegu",0,0,27,0
"355","Daegu","2020/2/17","Daegu",0,0,28,0
"356","Daegu","2020/2/18","Daegu",2,2,29,2
"357","Daegu","2020/2/19","Daegu",22,20,30,20
"358","Daegu","2020/2/20","Daegu",60,38,31,38
"359","Daegu","2020/2/21","Daegu",220,160,32,160
"360","Daegu","2020/2/22","Daegu",386,166,33,166
"361","Daegu","2020/2/23","Daegu",620,234,34,234
"362","Daegu","2020/2/24","Daegu",966,346,35,346
"363","Daegu","2020/2/25","Daegu",1086,120,36,120
"364","Daegu","2020/2/26","Daegu",1420,334,37,334
"365","Daegu","2020/2/27","Daegu",2264,844,38,844
"366","Daegu","2020/2/28","Daegu",3160,896,39,896
"367","Daegu","2020/2/29","Daegu",4472,1312,40,1312
"368","Daegu","2020/3/1","Daegu",5408,936,41,936
"369","Daegu","2020/3/2","Daegu",6162,754,42,754
"370","Daegu","2020/3/3","Daegu",7202,1040,43,1040
"371","Daegu","2020/3/4","Daegu",8014,812,44,812
"372","Daegu","2020/3/5","Daegu",8656,642,45,642
"373","Daegu","2020/3/6","Daegu",9388,732,46,732
