"","city_eng_name","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","avg_temp","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","stay_at_home","school_close","childcare_close","shop_close","restaurant_close","bar_close","entertainment_close","cultural_close","sports_indoor_close","sports_outdoor_close","gathering_outside_10lower","gathering_outside_10over","cv"
"2445","Cuyahoga,Ohio","Ohio","2020-06-19",1.05378344246885,0.0511160051744243,72.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0485071250072667
"2446","Cuyahoga,Ohio","Ohio","2020-06-20",1.1272628311038,0.0534975264728387,74,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0474578997876251
"2447","Cuyahoga,Ohio","Ohio","2020-06-21",1.25889167035228,0.0568709286532437,80.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0451753951452624
"2448","Cuyahoga,Ohio","Ohio","2020-06-22",1.4382597890079,0.0607775690042483,73,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0422577127364259
"2449","Cuyahoga,Ohio","Ohio","2020-06-23",1.52376478972026,0.0621556622259051,71.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0407908508224002
"2450","Cuyahoga,Ohio","Ohio","2020-06-24",1.71220911872115,0.0649945693389973,69,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0379594809000561
"2451","Cuyahoga,Ohio","Ohio","2020-06-25",1.8345179833963,0.0658553576655167,70,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0358979079308869
"2452","Cuyahoga,Ohio","Ohio","2020-06-26",1.97280186057606,0.0663525069777411,75,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0336336396998156
"2453","Cuyahoga,Ohio","Ohio","2020-06-27",1.97071054694047,0.063971971436114,75,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0324613736580598
"2454","Cuyahoga,Ohio","Ohio","2020-06-28",1.94019989984288,0.0608395511539322,74,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0313573622794533
